order_id,order_date,customer_id,product_id,employee_id,quantity,total_amount
ORD0000001,2024-05-10,CUST0088,P001,E010,3,960
ORD0000002,2024-12-31,CUST0040,P028,E007,17,2380
ORD0000003,2024-11-10,CUST0032,P024,E007,17,2975
ORD0000004,2022-05-02,CUST0097,P015,E007,14,280
ORD0000005,2023-04-12,CUST0112,P008,E007,17,2635
ORD0000006,2022-11-27,CUST0238,P020,E008,2,420
ORD0000007,2022-03-29,CUST0012,P014,E006,19,570
ORD0000008,2024-05-21,CUST0271,P006,E010,15,450
ORD0000009,2022-05-11,CUST0187,P003,E002,1,180
ORD0000010,2024-02-09,CUST0188,P006,E004,20,600
ORD0000011,2022-12-10,CUST0072,P001,E003,9,2880
ORD0000012,2024-03-16,CUST0260,P031,E002,14,770
ORD0000013,2023-01-21,CUST0027,P028,E008,5,700
ORD0000014,2024-08-13,CUST0101,P017,E005,3,180
ORD0000015,2022-10-04,CUST0181,P032,E007,14,1540
ORD0000016,2023-04-05,CUST0039,P031,E005,6,330
ORD0000017,2022-01-22,CUST0275,P030,E008,15,1800
ORD0000018,2022-09-10,CUST0117,P023,E001,9,585
ORD0000019,2024-01-18,CUST0014,P015,E007,11,220
ORD0000020,2024-05-06,CUST0327,P021,E001,6,1080
ORD0000021,2023-04-20,CUST0216,P020,E008,10,2100
ORD0000022,2024-12-18,CUST0125,P018,E006,13,1560
ORD0000023,2023-05-26,CUST0281,P002,E005,20,1700
ORD0000024,2023-12-01,CUST0089,P005,E004,18,1170
ORD0000025,2024-09-02,CUST0306,P010,E003,20,700
ORD0000026,2022-07-09,CUST0111,P008,E004,11,1705
ORD0000027,2024-08-15,CUST0079,P029,E008,18,1440
ORD0000028,2023-11-18,CUST0170,P019,E005,8,1160
ORD0000029,2024-08-15,CUST0323,P001,E001,15,4800
ORD0000030,2023-07-17,CUST0022,P030,E008,14,1680
ORD0000031,2024-04-11,CUST0156,P002,E003,12,1020
ORD0000032,2023-10-09,CUST0217,P021,E001,4,720
ORD0000033,2022-01-21,CUST0001,P015,E003,13,260
ORD0000034,2024-04-20,CUST0261,P023,E007,17,1105
ORD0000035,2022-06-16,CUST0112,P011,E010,17,935
ORD0000036,2023-01-23,CUST0099,P026,E008,1,85
ORD0000037,2023-08-24,CUST0075,P003,E009,2,360
ORD0000038,2022-11-12,CUST0143,P024,E003,5,875
ORD0000039,2022-01-14,CUST0230,P019,E008,16,2320
ORD0000040,2022-08-30,CUST0074,P027,E010,5,475
ORD0000041,2024-02-16,CUST0033,P025,E005,13,1170
ORD0000042,2023-07-19,CUST0188,P016,E002,13,975
ORD0000043,2024-06-16,CUST0106,P025,E009,8,720
ORD0000044,2022-04-02,CUST0046,P006,E005,3,90
ORD0000045,2024-08-13,CUST0283,P026,E006,6,510
ORD0000046,2023-05-24,CUST0028,P031,E007,13,715
ORD0000047,2024-02-15,CUST0107,P014,E001,13,390
ORD0000048,2022-02-04,CUST0034,P005,E003,17,1105
ORD0000049,2022-07-25,CUST0096,P032,E004,11,1210
ORD0000050,2024-10-22,CUST0127,P013,E002,7,420
ORD0000051,2024-10-18,CUST0057,P030,E008,11,1320
ORD0000052,2023-07-20,CUST0124,P032,E004,19,2090
ORD0000053,2023-12-04,CUST0150,P028,E008,18,2520
ORD0000054,2023-02-06,CUST0251,P025,E002,12,1080
ORD0000055,2023-12-31,CUST0027,P020,E001,14,2940
ORD0000056,2022-06-11,CUST0202,P017,E001,20,1200
ORD0000057,2022-07-21,CUST0123,P009,E005,2,80
ORD0000058,2024-09-22,CUST0089,P011,E005,4,220
ORD0000059,2022-09-27,CUST0060,P004,E003,4,440
ORD0000060,2024-03-26,CUST0331,P020,E003,3,630
ORD0000061,2023-04-01,CUST0072,P001,E005,12,3840
ORD0000062,2024-10-13,CUST0293,P003,E001,11,1980
ORD0000063,2022-10-23,CUST0110,P028,E005,5,700
ORD0000064,2023-12-21,CUST0126,P010,E007,15,525
ORD0000065,2022-12-04,CUST0048,P016,E008,4,300
ORD0000066,2024-05-28,CUST0252,P009,E007,5,200
ORD0000067,2024-12-12,CUST0269,P005,E008,17,1105
ORD0000068,2024-03-02,CUST0231,P004,E005,17,1870
ORD0000069,2022-08-05,CUST0315,P025,E008,15,1350
ORD0000070,2024-02-03,CUST0015,P003,E001,19,3420
ORD0000071,2022-07-07,CUST0024,P027,E009,10,950
ORD0000072,2023-01-15,CUST0331,P030,E001,17,2040
ORD0000073,2023-05-08,CUST0264,P030,E009,3,360
ORD0000074,2024-11-30,CUST0106,P031,E003,12,660
ORD0000075,2022-01-15,CUST0119,P014,E003,18,540
ORD0000076,2022-03-06,CUST0170,P016,E002,4,300
